"id","id_offer","id_company","can_bid","bid_count"
4372408,35616,2804,true,0
4372409,35616,315,true,0
4372410,35616,891,true,0
4372412,35616,2314,true,0
4372413,35616,2902,true,0
4372414,35616,2230,true,0
4372419,35616,912,true,0
4372415,35616,2754,true,1
4372418,35616,335,true,1
4372416,35616,298,true,1
4372411,35616,2437,true,1
4372420,35616,325,true,0
4372422,35616,319,true,0
4372424,35616,2465,true,0
4372425,35616,302,true,0
4372426,35616,376,true,0
4372427,35616,377,true,0
4372428,35616,378,true,0
4372429,35616,380,true,0
4372430,35616,382,true,0
4372431,35616,414,true,0
4372432,35616,797,true,0
4372433,35616,798,true,0
4372435,35616,381,true,0
4372436,35616,1835,true,0
4372437,35616,1921,true,0
4372438,35616,2016,true,0
4372440,35616,306,true,0
4372434,35616,116,true,1
4372439,35616,996,true,1
4372423,35616,322,true,1
4372417,35616,223,true,1
4372421,35616,258,true,1
4358060,35495,969,true,0
4358061,35495,970,true,0
4358062,35495,2089,true,0
4358063,35495,2712,true,0
4358064,35495,2908,true,0
4358065,35495,2702,true,0
4358066,35495,2700,true,0
4358067,35495,2461,true,0
4358068,35495,2386,true,0
4358069,35495,1003,true,0
4358070,35495,2024,true,0
4358071,35495,2025,true,0
4358072,35495,2220,true,0
4358073,35495,2052,true,0
4358074,35495,85,true,0
4358075,35495,827,true,0
4358076,35495,828,true,0
4358077,35495,1195,true,0
4358078,35495,1196,true,0
4358079,35495,1197,true,0
4358080,35495,1198,true,0
4358081,35495,1199,true,0
4358082,35495,946,true,0
4358083,35495,1141,true,0
4358084,35495,457,true,0
4358085,35495,1774,true,0
4358086,35495,1775,true,0
4358088,35495,1153,true,0
4358089,35495,1154,true,0
4358090,35495,1124,true,0
4358091,35495,1130,true,0
4358092,35495,1131,true,0
4358093,35495,1133,true,0
4358094,35495,1134,true,0
4358095,35495,1135,true,0
4358096,35495,1136,true,0
4358097,35495,1146,true,0
4358098,35495,1127,true,0
4358099,35495,1147,true,0
4358100,35495,1148,true,0
4358101,35495,1149,true,0
4358102,35495,1150,true,0
4358087,35495,1140,true,1
4358104,35495,1129,true,0
4358105,35495,505,true,0
4358106,35495,506,true,0
4358107,35495,504,true,0
4358110,35495,2517,true,0
4358111,35495,2499,true,0
4358112,35495,2498,true,0
4358113,35495,2497,true,0
4358114,35495,2289,true,0
4358115,35495,88,true,0
4358116,35495,22,true,0
4358117,35495,413,true,0
4358118,35495,757,true,0
4358119,35495,86,true,0
4358120,35495,303,true,0
4358121,35495,395,true,0
4358122,35495,2139,true,0
4358123,35495,2310,true,0
4358124,35495,326,true,0
4358125,35495,327,true,0
4358126,35495,325,true,0
4358127,35495,329,true,0
4358128,35495,330,true,0
